gen_ob_id,for_project,by_member,date_created,notes
237,Euplatypus Project (Dummy Data),11,2/22/24,
238,Euplatypus Project (Dummy Data),11,2/22/24,
239,Euplatypus Project (Dummy Data),11,2/22/24,
240,Euplatypus Project (Dummy Data),11,2/22/24,
241,Euplatypus Project (Dummy Data),11,2/22/24,
242,Euplatypus Project (Dummy Data),11,2/22/24,
243,Euplatypus Project (Dummy Data),11,2/22/24,
244,Euplatypus Project (Dummy Data),11,2/22/24,
245,Euplatypus Project (Dummy Data),11,2/22/24,
246,Euplatypus Project (Dummy Data),11,2/22/24,
247,Euplatypus Project (Dummy Data),11,2/22/24,
248,Euplatypus Project (Dummy Data),11,2/22/24,
249,Euplatypus Project (Dummy Data),11,2/22/24,
250,Euplatypus Project (Dummy Data),11,2/22/24,
251,Euplatypus Project (Dummy Data),11,2/22/24,
252,Euplatypus Project (Dummy Data),11,2/22/24,
253,Euplatypus Project (Dummy Data),11,2/22/24,
254,Euplatypus Project (Dummy Data),11,2/22/24,
255,Euplatypus Project (Dummy Data),11,2/22/24,
256,Euplatypus Project (Dummy Data),11,2/22/24,
257,Euplatypus Project (Dummy Data),11,2/22/24,
282,Euplatypus Project (Dummy Data),11,2/22/24,
552,Euplatypus Project (Dummy Data),11,2/29/24,Located by Jiri when the original felled trees for the project did not yield any beetles
553,Euplatypus Project (Dummy Data),11,3/29/24,Located by Jiri when the original felled trees for the project did not yield any beetles
554,Euplatypus Project (Dummy Data),11,2/29/24,
555,Euplatypus Project (Dummy Data),11,2/29/24,
556,Euplatypus Project (Dummy Data),11,2/29/24,
557,Euplatypus Project (Dummy Data),11,3/1/24,
558,Euplatypus Project (Dummy Data),11,3/1/24,
559,Euplatypus Project (Dummy Data),11,3/1/24,
560,Euplatypus Project (Dummy Data),11,2/29/24,
561,Euplatypus Project (Dummy Data),11,2/29/24,
562,Euplatypus Project (Dummy Data),11,2/29/24,
563,Euplatypus Project (Dummy Data),11,2/29/24,
564,Euplatypus Project (Dummy Data),11,2/29/24,
565,Euplatypus Project (Dummy Data),11,2/29/24,
566,Euplatypus Project (Dummy Data),11,3/1/24,
567,Euplatypus Project (Dummy Data),11,3/1/24,
568,Euplatypus Project (Dummy Data),11,3/1/24,
569,Euplatypus Project (Dummy Data),11,3/1/24,
570,Euplatypus Project (Dummy Data),11,3/1/24,
571,Euplatypus Project (Dummy Data),11,2/29/24,
572,Euplatypus Project (Dummy Data),11,2/29/24,
573,Euplatypus Project (Dummy Data),11,2/29/24,
574,Euplatypus Project (Dummy Data),11,2/29/24,
575,Euplatypus Project (Dummy Data),11,2/29/24,
576,Euplatypus Project (Dummy Data),11,2/29/24,
577,Euplatypus Project (Dummy Data),11,2/29/24,
578,Euplatypus Project (Dummy Data),11,2/29/24,
579,Euplatypus Project (Dummy Data),11,2/29/24,
580,Euplatypus Project (Dummy Data),11,2/29/24,
581,Euplatypus Project (Dummy Data),11,2/29/24,
582,Euplatypus Project (Dummy Data),11,2/29/24,
583,Euplatypus Project (Dummy Data),11,2/29/24,
1170,Euplatypus Project (Dummy Data),11,5/2/24,
1171,Euplatypus Project (Dummy Data),11,5/2/24,
1172,Euplatypus Project (Dummy Data),11,5/2/24,
1173,Euplatypus Project (Dummy Data),11,5/2/24,
1174,Euplatypus Project (Dummy Data),11,5/2/24,
1175,Euplatypus Project (Dummy Data),11,5/2/24,
1176,Euplatypus Project (Dummy Data),11,5/2/24,
1177,Euplatypus Project (Dummy Data),11,5/2/24,
1178,Euplatypus Project (Dummy Data),11,5/2/24,
1179,Euplatypus Project (Dummy Data),11,5/2/24,
1180,Euplatypus Project (Dummy Data),11,5/1/24,
3456,Euplatypus Project (Dummy Data),11,9/25/21,
3457,Euplatypus Project (Dummy Data),11,9/25/21,
3458,Euplatypus Project (Dummy Data),11,9/25/21,
3459,Euplatypus Project (Dummy Data),11,9/25/21,
3460,Euplatypus Project (Dummy Data),11,9/25/21,
3461,Euplatypus Project (Dummy Data),11,9/25/21,
3462,Euplatypus Project (Dummy Data),11,9/25/21,
3463,Euplatypus Project (Dummy Data),11,9/25/21,
3464,Euplatypus Project (Dummy Data),11,9/25/21,
3465,Euplatypus Project (Dummy Data),11,9/25/21,
3466,Euplatypus Project (Dummy Data),11,9/25/21,
3467,Euplatypus Project (Dummy Data),11,9/25/21,
3468,Euplatypus Project (Dummy Data),11,9/25/21,
3469,Euplatypus Project (Dummy Data),11,2/27/22,
3470,Euplatypus Project (Dummy Data),11,3/2/22,
3471,Euplatypus Project (Dummy Data),11,6/15/22,
3472,Euplatypus Project (Dummy Data),11,6/16/22,
3473,Euplatypus Project (Dummy Data),11,6/16/22,
3474,Euplatypus Project (Dummy Data),11,6/16/22,
3475,Euplatypus Project (Dummy Data),11,6/16/22,
3476,Euplatypus Project (Dummy Data),11,6/16/22,
3477,Euplatypus Project (Dummy Data),11,6/16/22,
3478,Euplatypus Project (Dummy Data),11,6/14/22,
3479,Euplatypus Project (Dummy Data),11,6/16/22,
3480,Euplatypus Project (Dummy Data),11,6/16/22,
3481,Euplatypus Project (Dummy Data),11,6/16/22,
3482,Euplatypus Project (Dummy Data),11,6/14/22,
3483,Euplatypus Project (Dummy Data),11,6/14/22,
3484,Euplatypus Project (Dummy Data),11,6/14/22,
3485,Euplatypus Project (Dummy Data),11,6/14/22,
3486,Euplatypus Project (Dummy Data),11,6/14/22,
3487,Euplatypus Project (Dummy Data),11,6/14/22,
3488,Euplatypus Project (Dummy Data),11,6/15/22,
3489,Euplatypus Project (Dummy Data),11,6/16/22,
3490,Euplatypus Project (Dummy Data),11,6/16/22,
3491,Euplatypus Project (Dummy Data),11,6/16/22,
3492,Euplatypus Project (Dummy Data),11,8/16/22,
3493,Euplatypus Project (Dummy Data),11,8/16/22,
3494,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3495,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3496,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3497,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3500,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3501,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3502,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3503,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3504,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3505,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3506,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3507,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3508,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3509,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3510,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3511,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3512,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3513,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3514,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3515,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3516,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3517,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3518,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3519,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3520,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3521,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3522,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3523,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3524,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3525,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3526,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3527,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3528,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3529,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3530,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3531,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3532,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3533,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3534,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3535,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3536,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3537,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3538,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3539,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3540,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3541,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3542,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3543,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3544,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3545,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3546,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3547,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3548,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3549,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3550,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3551,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, female, for culturing"
3552,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3553,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, female, for culturing"
3554,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3555,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, female, for culturing"
3556,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3557,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3558,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, male, for culturing"
3559,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, male, for culturing"
3560,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3561,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3562,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3563,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3564,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, male, for culturing"
3565,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, male, for culturing"
3566,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3567,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3568,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3569,Euplatypus Project (Dummy Data),11,6/18/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3570,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, male, for culturing"
3571,Euplatypus Project (Dummy Data),11,6/18/22,"Head of Euplatypus parallelus, male, for culturing"
3572,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3573,Euplatypus Project (Dummy Data),11,6/18/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3574,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3575,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3576,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3577,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3578,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3579,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3580,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3581,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3582,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3583,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3584,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3585,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3586,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3587,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3588,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3589,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3590,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3591,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3592,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3593,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3594,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3595,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3596,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3597,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3598,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3599,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3600,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3601,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3602,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3603,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3604,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3605,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3606,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3607,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3608,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3609,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3610,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3611,Euplatypus Project (Dummy Data),11,6/19/22,"Hindgut of Euplatypus parallelus, male, for culturing"
3612,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3613,Euplatypus Project (Dummy Data),11,6/19/22,"Head of Euplatypus parallelus, male, for culturing"
3614,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3615,Euplatypus Project (Dummy Data),11,6/19/22,"Prothorax of Euplatypus parallelus, male, for culturing"
3616,Euplatypus Project (Dummy Data),11,9/27/21,previously named #1 (WA); Euplatypus parallelus; Female; Head
3617,Euplatypus Project (Dummy Data),11,9/27/21,previously named #2 (WA); Euplatypus parallelus; Female; Head
3618,Euplatypus Project (Dummy Data),11,9/27/21,previously named #3 (WA); Euplatypus parallelus; Female; Head
3619,Euplatypus Project (Dummy Data),11,9/27/21,previously named #4 (WA); Euplatypus parallelus; Female; Prothorax
3620,Euplatypus Project (Dummy Data),11,9/27/21,previously named #5 (WA); Euplatypus parallelus; Female; Prothorax
3621,Euplatypus Project (Dummy Data),11,9/27/21,previously named #6 (WA); Euplatypus parallelus; Female; Prothorax
3622,Euplatypus Project (Dummy Data),11,9/27/21,previously named #7 (WA); Euplatypus parallelus; Female; Head
3623,Euplatypus Project (Dummy Data),11,9/27/21,previously named #8 (WA); Euplatypus parallelus; Female; Head
3624,Euplatypus Project (Dummy Data),11,9/27/21,previously named #9 (WA); Euplatypus parallelus; Female; Head
3625,Euplatypus Project (Dummy Data),11,9/27/21,previously named #10 (WA); Euplatypus parallelus; Female; Prothorax
3626,Euplatypus Project (Dummy Data),11,9/27/21,previously named #11 (WA); Euplatypus parallelus; Female; Prothorax
3627,Euplatypus Project (Dummy Data),11,9/27/21,previously named #12 (WA); Euplatypus parallelus; Female; Prothorax
3628,Euplatypus Project (Dummy Data),11,9/27/21,previously named #13 (WA); Euplatypus parallelus; Female; Head
3629,Euplatypus Project (Dummy Data),11,9/27/21,previously named #14 (WA); Euplatypus parallelus; Female; Head
3630,Euplatypus Project (Dummy Data),11,9/27/21,previously named #15 (WA); Euplatypus parallelus; Female; Head
3631,Euplatypus Project (Dummy Data),11,9/27/21,previously named #16 (WA); Euplatypus parallelus; Female; Prothorax
3632,Euplatypus Project (Dummy Data),11,9/27/21,previously named #17 (WA); Euplatypus parallelus; Female; Prothorax
3633,Euplatypus Project (Dummy Data),11,9/27/21,previously named #18 (WA); Euplatypus parallelus; Female; Prothorax
3634,Euplatypus Project (Dummy Data),11,9/27/21,previously named #19 (WA); Euplatypus parallelus; Male; Head
3635,Euplatypus Project (Dummy Data),11,9/27/21,previously named #20 (WA); Euplatypus parallelus; Male; Head
3636,Euplatypus Project (Dummy Data),11,9/27/21,previously named #21 (WA); Euplatypus parallelus; Male; Head
3637,Euplatypus Project (Dummy Data),11,9/27/21,previously named #22 (WA); Euplatypus parallelus; Male; Prothorax
3638,Euplatypus Project (Dummy Data),11,9/27/21,previously named #23 (WA); Euplatypus parallelus; Male; Prothorax
3639,Euplatypus Project (Dummy Data),11,9/27/21,previously named #24 (WA); Euplatypus parallelus; Male; Prothorax
3640,Euplatypus Project (Dummy Data),11,9/27/21,previously named #25 (WA); Euplatypus parallelus; Male; Head
3641,Euplatypus Project (Dummy Data),11,9/27/21,previously named #26 (WA); Euplatypus parallelus; Male; Head
3642,Euplatypus Project (Dummy Data),11,9/27/21,previously named #27 (WA); Euplatypus parallelus; Male; Head
3643,Euplatypus Project (Dummy Data),11,9/27/21,previously named #28 (WA); Euplatypus parallelus; Male; Prothorax
3644,Euplatypus Project (Dummy Data),11,9/27/21,previously named #29 (WA); Euplatypus parallelus; Male; Prothorax
3645,Euplatypus Project (Dummy Data),11,9/27/21,previously named #30 (WA); Euplatypus parallelus; Male; Prothorax
3646,Euplatypus Project (Dummy Data),11,9/27/21,previously named #31 (WA); Euplatypus parallelus; Male; Head
3647,Euplatypus Project (Dummy Data),11,9/27/21,previously named #32 (WA); Euplatypus parallelus; Male; Head
3648,Euplatypus Project (Dummy Data),11,9/27/21,previously named #33 (WA); Euplatypus parallelus; Male; Head
3649,Euplatypus Project (Dummy Data),11,9/27/21,previously named #34 (WA); Euplatypus parallelus; Male; Prothorax
3650,Euplatypus Project (Dummy Data),11,9/27/21,previously named #35 (WA); Euplatypus parallelus; Male; Prothorax
3651,Euplatypus Project (Dummy Data),11,9/27/21,previously named #36 (WA); Euplatypus parallelus; Male; Prothorax
3652,Euplatypus Project (Dummy Data),11,9/27/21,previously named #1; Euplatypus parallelus; Female; Head
3653,Euplatypus Project (Dummy Data),11,9/27/21,previously named #2; Euplatypus parallelus; Female; Head
3654,Euplatypus Project (Dummy Data),11,9/27/21,previously named #3; Euplatypus parallelus; Female; Head
3655,Euplatypus Project (Dummy Data),11,9/27/21,previously named #4; Euplatypus parallelus; Female; Prothorax
3656,Euplatypus Project (Dummy Data),11,9/27/21,previously named #5; Euplatypus parallelus; Female; Prothorax
3657,Euplatypus Project (Dummy Data),11,9/27/21,previously named #6; Euplatypus parallelus; Female; Prothorax
3658,Euplatypus Project (Dummy Data),11,9/27/21,previously named #7; Euplatypus parallelus; Male; Head
3659,Euplatypus Project (Dummy Data),11,9/27/21,previously named #8; Euplatypus parallelus; Male; Head
3660,Euplatypus Project (Dummy Data),11,9/27/21,previously named #9; Euplatypus parallelus; Male; Head
3661,Euplatypus Project (Dummy Data),11,9/27/21,previously named #10; Euplatypus parallelus; Male; Prothorax
3662,Euplatypus Project (Dummy Data),11,9/27/21,previously named #11; Euplatypus parallelus; Male; Prothorax
3663,Euplatypus Project (Dummy Data),11,9/27/21,previously named #12; Euplatypus parallelus; Male; Prothorax
3664,Euplatypus Project (Dummy Data),11,9/27/21,previously named #13; Euplatypus parallelus; Male; Head
3665,Euplatypus Project (Dummy Data),11,9/27/21,previously named #14; Euplatypus parallelus; Male; Head
3666,Euplatypus Project (Dummy Data),11,9/27/21,previously named #15; Euplatypus parallelus; Male; Head
3667,Euplatypus Project (Dummy Data),11,9/27/21,previously named #16; Euplatypus parallelus; Male; Prothorax
3668,Euplatypus Project (Dummy Data),11,9/27/21,previously named #17; Euplatypus parallelus; Male; Prothorax
3669,Euplatypus Project (Dummy Data),11,9/27/21,previously named #18; Euplatypus parallelus; Male; Prothorax
