gen_ob_id,batch_label_pcr,tube_number_pcr,success,forward_primer,reverse_primer,cycle
8708,Compiled Euplatypus,15084,TRUE,3,4,195
8709,Compiled Euplatypus,15085,TRUE,3,4,195
8710,Compiled Euplatypus,15086,TRUE,3,4,195
8711,Compiled Euplatypus,15087,TRUE,3,4,195
8712,Compiled Euplatypus,15088,TRUE,3,4,195
8713,Compiled Euplatypus,15089,TRUE,3,4,195
8714,Compiled Euplatypus,15090,TRUE,3,4,195
8715,Compiled Euplatypus,15091,TRUE,3,4,195
8716,Compiled Euplatypus,15092,TRUE,3,4,195
8717,Compiled Euplatypus,15093,TRUE,3,4,195
8718,Compiled Euplatypus,15094,TRUE,3,4,195
8719,Compiled Euplatypus,15095,TRUE,3,4,195
8720,Compiled Euplatypus,15096,TRUE,3,4,195
8721,Compiled Euplatypus,15097,TRUE,3,4,195
8722,Compiled Euplatypus,15098,TRUE,3,4,195
8723,Compiled Euplatypus,15099,TRUE,3,4,195
8724,Compiled Euplatypus,15100,TRUE,3,4,195
8726,Compiled Euplatypus,15102,TRUE,3,4,195
8727,Compiled Euplatypus,15103,TRUE,3,4,195
8728,Compiled Euplatypus,15104,TRUE,3,4,195
8729,Compiled Euplatypus,15105,TRUE,3,4,195
8730,Compiled Euplatypus,15106,TRUE,3,4,195
8731,Compiled Euplatypus,15107,TRUE,3,4,195
8732,Compiled Euplatypus,15108,TRUE,3,4,195
8733,Compiled Euplatypus,15109,TRUE,3,4,195
8734,Compiled Euplatypus,15110,TRUE,3,4,195
8735,Compiled Euplatypus,15111,TRUE,3,4,195
8666,Compiled Euplatypus,15041,TRUE,3,4,195
8667,Compiled Euplatypus,15042,TRUE,3,4,195
8668,Compiled Euplatypus,15043,TRUE,3,4,195
8669,Compiled Euplatypus,15044,TRUE,3,4,195
8670,Compiled Euplatypus,15045,TRUE,3,4,195
8671,Compiled Euplatypus,15046,TRUE,3,4,195
8672,Compiled Euplatypus,15047,TRUE,3,4,195
8673,Compiled Euplatypus,15048,TRUE,3,4,195
8675,Compiled Euplatypus,15050,TRUE,3,4,195
8676,Compiled Euplatypus,15051,TRUE,3,4,195
8677,Compiled Euplatypus,15052,TRUE,3,4,195
8678,Compiled Euplatypus,15053,TRUE,3,4,195
8679,Compiled Euplatypus,15054,TRUE,3,4,195
8680,Compiled Euplatypus,15055,TRUE,3,4,195
8681,Compiled Euplatypus,15056,TRUE,3,4,195
8682,Compiled Euplatypus,15057,TRUE,3,4,195
8683,Compiled Euplatypus,15058,TRUE,3,4,195
8684,Compiled Euplatypus,15059,TRUE,3,4,195
8701,Compiled Euplatypus,15077,,3,4,195
8685,Compiled Euplatypus,15060,TRUE,3,4,195
8686,Compiled Euplatypus,15061,TRUE,3,4,195
8687,Compiled Euplatypus,15062,TRUE,3,4,195
8688,Compiled Euplatypus,15063,TRUE,3,4,195
8689,Compiled Euplatypus,15064,TRUE,3,4,195
8690,Compiled Euplatypus,15065,TRUE,3,4,195
8643,Compiled Euplatypus,15018,TRUE,3,4,195
8644,Compiled Euplatypus,15019,TRUE,3,4,195
8646,Compiled Euplatypus,15021,TRUE,3,4,195
8647,Compiled Euplatypus,15022,TRUE,3,4,195
8648,Compiled Euplatypus,15023,TRUE,3,4,195
8649,Compiled Euplatypus,15024,TRUE,3,4,195
8650,Compiled Euplatypus,15025,TRUE,3,4,195
8651,Compiled Euplatypus,15026,TRUE,3,4,195
8652,Compiled Euplatypus,15027,TRUE,3,4,195
8653,Compiled Euplatypus,15028,TRUE,3,4,195
8654,Compiled Euplatypus,15029,TRUE,3,4,195
8655,Compiled Euplatypus,15030,TRUE,3,4,195
8656,Compiled Euplatypus,15031,TRUE,3,4,195
8527,Compiled Euplatypus,14711,,7,1,196
8534,Compiled Euplatypus,14718,,8,1,196
8657,Compiled Euplatypus,15032,TRUE,3,4,195
8658,Compiled Euplatypus,15033,TRUE,3,4,195
8659,Compiled Euplatypus,15034,TRUE,3,4,195
8660,Compiled Euplatypus,15035,TRUE,3,4,195
8661,Compiled Euplatypus,15036,TRUE,3,4,195
8662,Compiled Euplatypus,15037,TRUE,3,4,195
8663,Compiled Euplatypus,15038,TRUE,3,4,195
8665,Compiled Euplatypus,15040,TRUE,3,4,195
8629,Compiled Euplatypus,15004,TRUE,3,4,195
8630,Compiled Euplatypus,15005,TRUE,3,4,195
8631,Compiled Euplatypus,15006,TRUE,3,4,195
8632,Compiled Euplatypus,15007,TRUE,3,4,195
8633,Compiled Euplatypus,15008,TRUE,3,4,195
8634,Compiled Euplatypus,15009,TRUE,3,4,195
8635,Compiled Euplatypus,15010,TRUE,3,4,195
8636,Compiled Euplatypus,15011,TRUE,3,4,195
8637,Compiled Euplatypus,15012,TRUE,3,4,195
8638,Compiled Euplatypus,15013,TRUE,3,4,195
8639,Compiled Euplatypus,15014,TRUE,3,4,195
8640,Compiled Euplatypus,15015,TRUE,3,4,195
8641,Compiled Euplatypus,15016,TRUE,3,4,195
8642,Compiled Euplatypus,15017,TRUE,3,4,195
8751,Compiled Euplatypus,15140,TRUE,3,4,195
8752,Compiled Euplatypus,15141,TRUE,3,4,195
8753,Compiled Euplatypus,15142,TRUE,3,4,195
8754,Compiled Euplatypus,15143,TRUE,3,4,195
8755,Compiled Euplatypus,15144,TRUE,3,4,195
8756,Compiled Euplatypus,15145,TRUE,3,4,195
8757,Compiled Euplatypus,15146,TRUE,3,4,195
8758,Compiled Euplatypus,15147,TRUE,3,4,195
8759,Compiled Euplatypus,15148,TRUE,3,4,195
8760,Compiled Euplatypus,15149,TRUE,3,4,195
8742,Compiled Euplatypus,15123,TRUE,3,4,195
8743,Compiled Euplatypus,15124,TRUE,3,4,195
8744,Compiled Euplatypus,15125,TRUE,3,4,195
8745,Compiled Euplatypus,15126,TRUE,3,4,195
8746,Compiled Euplatypus,15127,TRUE,3,4,195
8747,Compiled Euplatypus,15128,TRUE,3,4,195
8748,Compiled Euplatypus,15129,TRUE,3,4,195
8749,Compiled Euplatypus,15130,TRUE,3,4,195
8750,Compiled Euplatypus,15131,TRUE,3,4,195
8691,Compiled Euplatypus,15067,TRUE,3,4,195
8706,Compiled Euplatypus,15082,TRUE,3,4,195
8725,Compiled Euplatypus,15101,TRUE,3,4,195
8736,Compiled Euplatypus,15112,TRUE,3,4,195
8737,Compiled Euplatypus,15113,TRUE,3,4,195
8738,Compiled Euplatypus,15114,TRUE,3,4,195
8739,Compiled Euplatypus,15115,TRUE,3,4,195
8740,Compiled Euplatypus,15116,TRUE,3,4,195
8741,Compiled Euplatypus,15117,TRUE,3,4,195
8674,Compiled Euplatypus,15049,TRUE,3,4,195
8645,Compiled Euplatypus,15020,TRUE,3,4,195
8664,Compiled Euplatypus,15039,TRUE,3,4,195
8628,Compiled Euplatypus,15003,TRUE,3,4,195
8627,Compiled Euplatypus,14982,TRUE,2,1,196
8571,Compiled Euplatypus,14916,TRUE,2,1,198
8558,Compiled Euplatypus,14903,TRUE,5,6,197
8559,Compiled Euplatypus,14904,TRUE,5,6,197
8528,Compiled Euplatypus,14712,TRUE,5,6,196
