gen_ob_id,technique,tissue,incubation_temperature,from_media_batch,physical_label,fridge_date,discard_date
3544,28,192,25,19,21424,1/1/25,11/5/24
3545,29,192,25,19,21425,1/1/25,11/5/24
3546,28,193,25,19,21426,1/1/25,11/5/24
3547,29,193,25,19,21427,1/1/25,11/5/24
3548,28,194,25,19,21428,1/1/25,11/5/24
3549,29,194,25,19,21429,1/1/25,11/5/24
3550,28,192,25,19,21430,1/1/25,11/5/24
3551,29,192,25,19,21431,1/1/25,11/5/24
3552,28,193,25,19,21432,1/1/25,11/5/24
3553,29,193,25,19,21433,1/1/25,11/5/24
3554,28,194,25,19,21434,1/1/25,11/5/24
3555,29,194,25,19,21435,1/1/25,11/5/24
3556,28,192,25,19,21436,1/1/25,11/5/24
3557,29,192,25,19,21437,1/1/25,11/5/24
3558,28,193,25,19,21438,1/1/25,11/5/24
3559,29,193,25,19,21439,1/1/25,11/5/24
3560,28,194,25,19,21440,1/1/25,11/5/24
3561,29,194,25,19,21441,1/1/25,11/5/24
3562,28,192,25,19,21442,1/1/25,11/5/24
3563,29,192,25,19,21443,1/1/25,11/5/24
3564,28,193,25,19,21444,1/1/25,11/5/24
3565,29,193,25,19,21445,1/1/25,11/5/24
3566,28,194,25,19,21446,1/1/25,11/5/24
3567,29,194,25,19,21447,1/1/25,11/5/24
3568,28,192,25,19,21448,1/1/25,11/5/24
3569,29,192,25,19,21449,1/1/25,11/5/24
3570,28,193,25,19,21450,1/1/25,11/5/24
3571,29,193,25,19,21451,1/1/25,11/5/24
3572,28,194,25,19,21452,1/1/25,11/5/24
3573,29,194,25,19,21453,1/1/25,11/5/24
3574,28,192,25,19,21454,1/1/25,11/5/24
3575,29,192,25,19,21455,1/1/25,11/5/24
3577,29,193,25,19,21457,1/1/25,11/5/24
3578,28,194,25,19,21458,1/1/25,11/5/24
3579,29,194,25,19,21459,1/1/25,11/5/24
3580,28,192,25,19,21460,1/1/25,11/5/24
3581,29,192,25,19,21461,1/1/25,11/5/24
3582,28,193,25,19,21462,1/1/25,11/5/24
3583,29,193,25,19,21463,1/1/25,11/5/24
3584,28,194,25,19,21464,1/1/25,11/5/24
3585,29,194,25,19,21465,1/1/25,11/5/24
3586,28,192,25,19,21466,1/1/25,11/5/24
3587,29,192,25,19,21467,1/1/25,11/5/24
3588,28,193,25,19,21468,1/1/25,11/5/24
3589,29,193,25,19,21469,1/1/25,11/5/24
3590,28,194,25,19,21470,1/1/25,11/5/24
3591,29,194,25,19,21471,1/1/25,11/5/24
3592,28,192,25,19,21472,1/1/25,11/5/24
3593,29,192,25,19,21473,1/1/25,11/5/24
3594,28,193,25,19,21474,1/1/25,11/5/24
3595,29,193,25,19,21475,1/1/25,11/5/24
3596,28,194,25,19,21476,1/1/25,11/5/24
3597,29,194,25,19,21477,1/1/25,11/5/24
3598,28,192,25,19,21478,1/1/25,11/5/24
3599,29,192,25,19,21479,1/1/25,11/5/24
3600,28,193,25,19,21480,1/1/25,11/5/24
3601,29,193,25,19,21481,1/1/25,11/5/24
3602,28,194,25,19,21482,1/1/25,11/5/24
3603,29,194,25,19,21483,1/1/25,11/5/24
3604,28,192,25,19,21484,1/1/25,11/5/24
3605,29,192,25,19,21485,1/1/25,11/5/24
3606,28,193,25,19,21486,1/1/25,11/5/24
3607,29,193,25,19,21487,1/1/25,11/5/24
3608,28,194,25,19,21488,1/1/25,11/5/24
3609,29,194,25,19,21489,1/1/25,11/5/24
3610,28,192,25,19,21490,1/1/25,11/5/24
3611,29,192,25,19,21491,1/1/25,11/5/24
3612,28,193,25,19,21492,1/1/25,11/5/24
3613,29,193,25,19,21493,1/1/25,11/5/24
3614,28,194,25,19,21494,1/1/25,11/5/24
3615,29,194,25,19,21495,1/1/25,11/5/24
3616,28,193,25,20,21526,1/1/25,11/5/24
3617,29,193,25,20,21527,1/1/25,11/5/24
3618,30,193,25,20,21528,1/1/25,11/5/24
3619,28,194,25,20,21529,1/1/25,11/5/24
3620,29,194,25,20,21530,1/1/25,11/5/24
3621,30,194,25,20,21531,1/1/25,11/5/24
3622,28,193,25,20,21532,1/1/25,11/5/24
3623,29,193,25,20,21533,1/1/25,11/5/24
3624,30,193,25,20,21534,1/1/25,11/5/24
3625,28,194,25,20,21535,1/1/25,11/5/24
3626,29,194,25,20,21536,1/1/25,11/5/24
3627,30,194,25,20,21537,1/1/25,11/5/24
3628,28,193,25,20,21538,1/1/25,11/5/24
3629,29,193,25,20,21539,1/1/25,11/5/24
3630,30,193,25,20,21540,1/1/25,11/5/24
3631,28,194,25,20,21541,1/1/25,11/5/24
3632,29,194,25,20,21542,1/1/25,11/5/24
3633,30,194,25,20,21543,1/1/25,11/5/24
3634,28,193,25,20,21544,1/1/25,11/5/24
3635,29,193,25,20,21545,1/1/25,11/5/24
3636,30,193,25,20,21546,1/1/25,11/5/24
3637,28,194,25,20,21547,1/1/25,11/5/24
3638,29,194,25,20,21548,1/1/25,11/5/24
3639,30,194,25,20,21549,1/1/25,11/5/24
3640,28,193,25,20,21550,1/1/25,11/5/24
3641,29,193,25,20,21551,1/1/25,11/5/24
3642,30,193,25,20,21552,1/1/25,11/5/24
3643,28,194,25,20,21553,1/1/25,11/5/24
3644,29,194,25,20,21554,1/1/25,11/5/24
3645,30,194,25,20,21555,1/1/25,11/5/24
3646,28,193,25,20,21556,1/1/25,11/5/24
3647,29,193,25,20,21557,1/1/25,11/5/24
3648,30,193,25,20,21558,1/1/25,11/5/24
3649,28,194,25,20,21559,1/1/25,11/5/24
3650,29,194,25,20,21560,1/1/25,11/5/24
3651,30,194,25,20,21561,1/1/25,11/5/24
3652,28,193,25,19,21562,1/1/25,11/5/24
3653,29,193,25,19,21563,1/1/25,11/5/24
3654,30,193,25,19,21564,1/1/25,11/5/24
3655,28,194,25,19,21565,1/1/25,11/5/24
3656,29,194,25,19,21566,1/1/25,11/5/24
3657,30,194,25,19,21567,1/1/25,11/5/24
3658,28,193,25,19,21568,1/1/25,11/5/24
3659,29,193,25,19,21569,1/1/25,11/5/24
3660,30,193,25,19,21570,1/1/25,11/5/24
3661,28,194,25,19,21571,1/1/25,11/5/24
3662,29,194,25,19,21572,1/1/25,11/5/24
3663,30,194,25,19,21573,1/1/25,11/5/24
3664,28,193,25,19,21574,1/1/25,11/5/24
3665,29,193,25,19,21575,1/1/25,11/5/24
3666,30,193,25,19,21576,1/1/25,11/5/24
3667,28,194,25,19,21577,1/1/25,11/5/24
3668,29,194,25,19,21578,1/1/25,11/5/24
3669,30,194,25,19,21579,1/1/25,11/5/24
3670,28,193,25,19,21580,1/1/25,11/5/24
3671,29,193,25,19,21581,1/1/25,11/5/24
3672,30,193,25,19,21582,1/1/25,11/5/24
3673,28,194,25,19,21583,1/1/25,11/5/24
3674,29,194,25,19,21584,1/1/25,11/5/24
3675,30,194,25,19,21585,1/1/25,11/5/24
3676,28,193,25,19,21586,1/1/25,11/5/24
3677,29,193,25,19,21587,1/1/25,11/5/24
3678,30,193,25,19,21588,1/1/25,11/5/24
3679,28,194,25,19,21589,1/1/25,11/5/24
3680,29,194,25,19,21590,1/1/25,11/5/24
3681,30,194,25,19,21591,1/1/25,11/5/24
3682,28,193,25,19,21592,1/1/25,11/5/24
3683,29,193,25,19,21593,1/1/25,11/5/24
3684,30,193,25,19,21594,1/1/25,11/5/24
3685,28,194,25,19,21595,1/1/25,11/5/24
3686,29,194,25,19,21596,1/1/25,11/5/24
3687,30,194,25,19,21597,1/1/25,11/5/24
3688,28,193,25,19,21598,1/1/25,11/5/24
3689,29,193,25,19,21599,1/1/25,11/5/24
3690,30,193,25,19,21600,1/1/25,11/5/24
3691,28,194,25,19,21601,1/1/25,11/5/24
3692,29,194,25,19,21602,1/1/25,11/5/24
3693,30,194,25,19,21603,1/1/25,11/5/24
3694,153,192,25,19,21663,1/1/25,11/5/24
3695,153,192,25,19,21664,1/1/25,11/5/24
3696,33,35,25,20,21604,1/1/25,11/5/24
3697,33,35,25,20,21605,1/1/25,11/5/24
3698,33,35,25,20,21606,1/1/25,11/5/24
3699,33,35,25,20,21607,1/1/25,11/5/24
3700,33,35,25,20,21608,1/1/25,11/5/24
3701,33,35,25,20,21609,1/1/25,11/5/24
3702,33,35,25,20,21610,1/1/25,11/5/24
3703,33,35,25,20,21611,1/1/25,11/5/24
3704,33,35,25,20,21612,1/1/25,11/5/24
3705,33,35,25,20,21613,1/1/25,11/5/24
3706,33,35,25,20,21614,1/1/25,11/5/24
3707,33,35,25,20,21615,1/1/25,11/5/24
3708,33,35,25,20,21616,1/1/25,11/5/24
3709,33,35,25,20,21617,1/1/25,11/5/24
3710,33,35,25,20,21618,1/1/25,11/5/24
3711,33,35,25,20,21619,1/1/25,11/5/24
3712,33,35,25,20,21620,1/1/25,11/5/24
3713,33,35,25,20,21621,1/1/25,11/5/24
3714,33,35,25,20,21622,1/1/25,11/5/24
3715,33,35,25,20,21623,1/1/25,11/5/24
3716,33,35,25,20,21624,1/1/25,11/5/24
3717,33,35,25,20,21625,1/1/25,11/5/24
3718,33,35,25,20,21626,1/1/25,11/5/24
3719,33,35,25,20,21627,1/1/25,11/5/24
3720,33,35,25,20,21628,1/1/25,11/5/24
3721,33,35,25,20,21629,1/1/25,11/5/24
3722,33,35,25,20,21630,1/1/25,11/5/24
3723,33,35,25,20,21631,1/1/25,11/5/24
3724,33,35,25,20,21632,1/1/25,11/5/24
3725,33,35,25,20,21633,1/1/25,11/5/24
3726,33,35,25,20,21634,1/1/25,11/5/24
3727,33,35,25,20,21635,1/1/25,11/5/24
3728,33,35,25,20,21636,1/1/25,11/5/24
3729,33,35,25,20,21637,1/1/25,11/5/24
3730,33,35,25,20,21638,1/1/25,11/5/24
3731,33,35,25,20,21639,1/1/25,11/5/24
3732,33,35,25,20,21640,1/1/25,11/5/24
3733,33,35,25,20,21641,1/1/25,11/5/24
3734,33,35,25,20,21642,1/1/25,11/5/24
3735,33,35,25,20,21643,1/1/25,11/5/24
3736,33,35,25,20,21644,1/1/25,11/5/24
3737,33,35,25,20,21645,1/1/25,11/5/24
3738,33,35,25,20,21646,1/1/25,11/5/24
3739,33,35,25,20,21647,1/1/25,11/5/24
3740,33,35,25,20,21648,1/1/25,11/5/24
3741,33,35,25,20,21649,1/1/25,11/5/24
3742,33,35,25,20,21650,1/1/25,11/5/24
3743,33,35,25,20,21651,1/1/25,11/5/24
3744,33,35,25,20,21652,1/1/25,11/5/24
3745,33,35,25,20,21653,1/1/25,11/5/24
3746,33,35,25,20,21654,1/1/25,11/5/24
3747,33,35,25,20,21655,1/1/25,11/5/24
3748,33,35,25,20,21656,1/1/25,11/5/24
3749,33,35,25,20,21657,1/1/25,11/5/24
3750,33,35,25,20,21658,1/1/25,11/5/24
3751,33,35,25,20,21659,1/1/25,11/5/24
3752,33,35,25,20,21660,1/1/25,11/5/24
3753,33,35,25,20,21661,1/1/25,11/5/24
3754,33,35,25,20,21662,1/1/25,11/5/24
3757,33,35,25,19,21665,1/1/25,11/5/24
3758,33,35,25,19,21666,1/1/25,11/5/24
3759,33,35,25,19,21667,1/1/25,11/5/24
3760,33,35,25,20,21692,1/1/25,11/5/24
3761,33,35,25,20,21693,1/1/25,11/5/24
3762,33,35,25,20,21694,1/1/25,11/5/24
3764,33,35,25,20,21696,1/1/25,11/5/24
3765,33,35,25,20,21697,1/1/25,11/5/24
3766,33,35,25,20,21698,1/1/25,11/5/24
3767,33,35,25,20,21699,1/1/25,11/5/24
3768,33,35,25,20,21700,1/1/25,11/5/24
3769,33,35,25,20,21701,1/1/25,11/5/24
3770,33,35,25,20,21702,1/1/25,11/5/24
3771,33,35,25,20,21703,1/1/25,11/5/24
3772,33,35,25,20,21704,1/1/25,11/5/24
3773,33,35,25,20,21705,1/1/25,11/5/24
3774,33,35,25,20,21706,1/1/25,11/5/24
3775,33,35,25,20,21707,1/1/25,11/5/24
3776,33,35,25,20,21708,1/1/25,11/5/24
3777,33,35,25,20,21709,1/1/25,11/5/24
3779,33,35,25,20,21711,1/1/25,11/5/24
3780,33,35,25,20,21712,1/1/25,11/5/24
3781,33,35,25,20,21713,1/1/25,11/5/24
3782,33,35,25,20,21714,1/1/25,11/5/24
3783,33,35,25,20,21715,1/1/25,11/5/24
3784,33,35,25,20,21716,1/1/25,11/5/24
3785,33,35,25,20,21717,1/1/25,11/5/24
3786,33,35,25,20,21718,1/1/25,11/5/24
3787,33,35,25,20,21719,1/1/25,11/5/24
3788,33,35,25,20,21720,1/1/25,11/5/24
3789,33,35,25,20,21721,1/1/25,11/5/24
3790,33,35,25,20,21722,1/1/25,11/5/24
3791,33,35,25,20,21723,1/1/25,11/5/24
3792,33,35,25,20,21724,1/1/25,11/5/24
3793,33,35,25,20,21725,1/1/25,11/5/24
3794,33,35,25,20,21726,1/1/25,11/5/24
3795,33,35,25,20,21727,1/1/25,11/5/24
3796,33,35,25,20,21728,1/1/25,11/5/24
3797,33,35,25,20,21729,1/1/25,11/5/24
3798,33,35,25,20,21730,1/1/25,11/5/24
3799,33,35,25,20,21731,1/1/25,11/5/24
3800,33,35,25,20,21732,1/1/25,11/5/24
3801,33,35,25,20,21733,1/1/25,11/5/24
3802,33,35,25,20,21734,1/1/25,11/5/24
3803,33,35,25,20,21735,1/1/25,11/5/24
3804,33,35,25,20,21736,1/1/25,11/5/24
3805,33,35,25,20,21737,1/1/25,11/5/24
3806,33,35,25,20,21738,1/1/25,11/5/24
3807,33,35,25,20,21739,1/1/25,11/5/24
3808,33,35,25,20,21740,1/1/25,11/5/24
3809,33,35,25,20,21741,1/1/25,11/5/24
3810,33,35,25,20,21742,1/1/25,11/5/24
3811,33,35,25,20,21743,1/1/25,11/5/24
3812,33,35,25,20,21744,1/1/25,11/5/24
3813,33,35,25,20,21745,1/1/25,11/5/24
3814,33,35,25,20,21746,1/1/25,11/5/24
3815,33,35,25,20,21747,1/1/25,11/5/24
3816,33,35,25,20,21748,1/1/25,11/5/24
3817,33,35,25,20,21749,1/1/25,11/5/24
3818,33,35,25,20,21750,1/1/25,11/5/24
3819,33,35,25,20,21751,1/1/25,11/5/24
3820,33,35,25,20,21752,1/1/25,11/5/24
3821,33,35,25,20,21753,1/1/25,11/5/24
3822,33,35,25,20,21754,1/1/25,11/5/24
3823,33,35,25,20,21755,1/1/25,11/5/24
3824,33,35,25,20,21756,1/1/25,11/5/24
3825,33,35,25,20,21757,1/1/25,11/5/24
3826,33,35,25,20,21758,1/1/25,11/5/24
3827,33,35,25,20,21759,1/1/25,11/5/24
3828,33,35,25,20,21760,1/1/25,11/5/24
3829,33,35,25,20,21761,1/1/25,11/5/24
3830,33,35,25,20,21762,1/1/25,11/5/24
3831,33,35,25,20,21763,1/1/25,11/5/24
3832,33,35,25,20,21764,1/1/25,11/5/24
3833,33,35,25,20,21765,1/1/25,11/5/24
3778,33,35,25,20,21710,1/1/25,11/5/24
3834,33,35,25,20,21766,1/1/25,11/5/24
3835,33,35,25,20,21767,1/1/25,11/5/24
3836,33,35,25,20,21768,1/1/25,11/5/24
3837,33,35,25,20,21769,1/1/25,11/5/24
3838,33,35,25,20,21770,1/1/25,11/5/24
3839,33,35,25,20,21771,1/1/25,11/5/24
3840,33,35,25,20,21772,1/1/25,11/5/24
3841,33,35,25,20,21773,1/1/25,11/5/24
3842,33,35,25,20,21774,1/1/25,11/5/24
3843,33,35,25,20,21775,1/1/25,11/5/24
3844,33,35,25,20,21776,1/1/25,11/5/24
3845,33,35,25,20,21777,1/1/25,11/5/24
3846,33,35,25,20,21778,1/1/25,11/5/24
3847,33,35,25,20,21779,1/1/25,11/5/24
3848,33,35,25,20,21780,1/1/25,11/5/24
3849,33,35,25,20,21781,1/1/25,11/5/24
3850,33,35,25,20,21782,1/1/25,11/5/24
3851,33,35,25,20,21783,1/1/25,11/5/24
3852,33,35,25,20,21784,1/1/25,11/5/24
3853,33,35,25,20,21785,1/1/25,11/5/24
3854,33,35,25,20,21786,1/1/25,11/5/24
3855,33,35,25,20,21787,1/1/25,11/5/24
3856,33,35,25,20,21788,1/1/25,11/5/24
3857,33,35,25,20,21789,1/1/25,11/5/24
3858,33,35,25,20,21790,1/1/25,11/5/24
3859,33,35,25,20,21791,1/1/25,11/5/24
3860,33,35,25,20,21792,1/1/25,11/5/24
3861,33,35,25,20,21793,1/1/25,11/5/24
3862,33,35,25,20,21794,1/1/25,11/5/24
3863,33,35,25,20,21795,1/1/25,11/5/24
3864,33,35,25,20,21796,1/1/25,11/5/24
3865,33,35,25,20,21797,1/1/25,11/5/24
3866,33,35,25,20,21798,1/1/25,11/5/24
3867,33,35,25,20,21799,1/1/25,11/5/24
3868,33,35,25,20,21800,1/1/25,11/5/24
3869,33,35,25,20,21801,1/1/25,11/5/24
3870,33,35,25,20,21802,1/1/25,11/5/24
3871,33,35,25,20,21803,1/1/25,11/5/24
3872,33,35,25,20,21804,1/1/25,11/5/24
3873,33,35,25,20,P0,1/1/25,11/5/24
